ID,Model,Batch Size,Learning Rate,Optimizer,Seed(maybe build the average in the end),Trained on,Evaluated on,Sharpn. First Try,"Sharpn. (2D), rs 42","Sharpn. (2D), rs 43","Sharpn. (2D), rs 44",Mean Sharpness,Std Sharpness,Max Sharpness,Test (all),A,B,C,S1,S2,S3,S4,S5,S6,barcelona,helsinki,lisbon,london,lyon,milan,paris,prague,stockholm,vienna,
,Subtask General Selection of Models/Hyperparameters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RQ5 Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CNN14,16,0.001,SGD,43,Train (all),Val (all),,13.51809093,13.19714092,16.84495099,14.52006095,2.019798879,16.84495099,0.552561,0.718182,0.607903,0.641337,0.606061,0.518182,0.590909,0.451515,0.448485,0.390909,0.527933,0.516667,0.505556,0.6,0.588889,0.592593,0.525926,0.611111,0.52963,0.562963,cnn14_None_SGD_0-001_16_50_43_None
2,CNN14,16,0.001,SGD,42,Train (all),Val (all),,8.322006503,15.55788193,43.42647364,22.43545402,18.53528127,43.42647364,0.56031,0.721212,0.595745,0.601824,0.633333,0.618182,0.557576,0.481818,0.481818,0.351515,0.52514,0.466667,0.525,0.555556,0.633333,0.603704,0.548148,0.559259,0.614815,0.625926,cnn14_None_SGD_0-001_16_50_42_None
3,CNN14,32,0.001,SGD,43,Train (all),Val (all),,23.06603969,22.1310814,24.9038607,23.36699393,1.410675848,24.9038607,0.524259,0.654545,0.56535,0.6231,0.554545,0.563636,0.551515,0.454545,0.390909,0.360606,0.48324,0.452778,0.511111,0.525926,0.57037,0.544444,0.533333,0.585185,0.566667,0.511111,cnn14_None_SGD_0-001_32_50_43_None
4,CNN14,16,0.001,Adam,43,Train (all),Val (all),,20.95240058,26.40485232,28.45187311,25.26970867,3.876459132,28.45187311,0.505054,0.687879,0.531915,0.547112,0.463636,0.493939,0.554545,0.448485,0.436364,0.381818,0.477654,0.444444,0.463889,0.596296,0.548148,0.459259,0.492593,0.596296,0.466667,0.548148,cnn14_None_Adam_0-001_16_50_43_None
5,CNN10,16,0.001,Adam,42,Train (all),Val (all),,28.3908926,24.81868601,26.85376082,26.68777981,1.791878135,28.3908926,0.567722,0.715152,0.617021,0.656535,0.59697,0.521212,0.551515,0.478788,0.542424,0.430303,0.52514,0.544444,0.480556,0.644444,0.637037,0.533333,0.544444,0.596296,0.614815,0.607407,cnn10_None_Adam_0-001_16_50_42_None
6,CNN10,16,0.001,Adam,43,Train (all),Val (all),,60.11004513,35.0796617,29.93450159,41.70806948,16.14288386,60.11004513,0.570081,0.709091,0.613982,0.635258,0.587879,0.569697,0.542424,0.49697,0.536364,0.439394,0.53352,0.530556,0.575,0.559259,0.633333,0.577778,0.544444,0.592593,0.611111,0.566667,cnn10_None_Adam_0-001_16_50_43_None
7,CNN10,16,0.001,SGD,43,Train (all),Val (all),,53.66683964,49.59922861,28.51111921,43.92572915,13.50348157,53.66683964,0.588612,0.718182,0.604863,0.68997,0.60303,0.545455,0.621212,0.560606,0.5,0.454545,0.50838,0.575,0.555556,0.648148,0.640741,0.614815,0.551852,0.651852,0.566667,0.614815,cnn10_None_SGD_0-001_16_50_43_None
8,CNN14,32,0.001,Adam,42,Train (all),Val (all),,37.00179289,80.3059378,35.62248518,50.97673863,25.40919254,80.3059378,0.549865,0.69697,0.56535,0.62614,0.6,0.524242,0.609091,0.475758,0.478788,0.372727,0.522346,0.511111,0.494444,0.503704,0.633333,0.625926,0.507407,0.6,0.559259,0.581481,cnn14_None_Adam_0-001_32_50_42_None
9,CNN10,16,0.001,SGD,42,Train (all),Val (all),,58.58079074,60.88972179,37.33921408,52.26990887,12.98179594,60.88972179,0.594003,0.7,0.641337,0.696049,0.575758,0.621212,0.578788,0.521212,0.536364,0.475758,0.519553,0.605556,0.516667,0.655556,0.62963,0.637037,0.6,0.648148,0.581481,0.592593,cnn10_None_SGD_0-001_16_50_42_None
10,CNN14,16,0.001,Adam,42,Train (all),Val (all),,70.54396711,32.38920824,57.66599124,53.53305553,19.41023633,70.54396711,0.506739,0.675758,0.531915,0.607903,0.490909,0.460606,0.524242,0.412121,0.463636,0.393939,0.432961,0.447222,0.483333,0.481481,0.537037,0.548148,0.511111,0.614815,0.518519,0.544444,cnn14_None_Adam_0-001_16_50_42_None
11,CNN14,32,0.001,SGD,42,Train (all),Val (all),,130.5046884,57.36672883,27.06867688,71.64669803,53.17603087,130.5046884,0.528302,0.7,0.56231,0.62614,0.536364,0.551515,0.563636,0.436364,0.418182,0.360606,0.455307,0.488889,0.494444,0.514815,0.559259,0.611111,0.507407,0.577778,0.548148,0.574074,cnn14_None_SGD_0-001_32_50_42_None
12,CNN14,32,0.0001,Adam,43,Train (all),Val (all),,65.24931448,80.39404165,85.96383522,77.20239711,10.71973827,85.96383522,0.53066,0.675758,0.571429,0.638298,0.563636,0.518182,0.515152,0.460606,0.5,0.333333,0.51676,0.533333,0.45,0.555556,0.588889,0.522222,0.474074,0.581481,0.544444,0.57037,cnn14_None_Adam_0-0001_32_50_43_None
13,CNN10,32,0.001,Adam,43,Train (all),Val (all),,103.9860983,71.48470363,66.28757672,80.58612621,20.43089699,103.9860983,0.556941,0.69697,0.601824,0.613982,0.542424,0.551515,0.551515,0.5,0.515152,0.439394,0.488827,0.497222,0.552778,0.596296,0.62963,0.57037,0.540741,0.622222,0.559259,0.555556,cnn10_None_Adam_0-001_32_50_43_None
14,CNN14,32,0.001,Adam,43,Train (all),Val (all),,115.7694188,52.81355154,76.2028393,81.59526989,31.8224612,115.7694188,0.501685,0.633333,0.547112,0.598784,0.466667,0.481818,0.554545,0.442424,0.463636,0.327273,0.449721,0.469444,0.486111,0.522222,0.533333,0.533333,0.474074,0.577778,0.459259,0.544444,cnn14_None_Adam_0-001_32_50_43_None
15,CNN10,32,0.001,SGD,43,Train (all),Val (all),,118.4973076,77.83890271,50.72054031,82.35225021,34.11305141,118.4973076,0.584232,0.712121,0.610942,0.632219,0.609091,0.557576,0.615152,0.539394,0.518182,0.463636,0.494413,0.569444,0.597222,0.607407,0.62963,0.618519,0.574074,0.607407,0.559259,0.614815,cnn10_None_SGD_0-001_32_50_43_None
16,CNN10,32,0.001,SGD,42,Train (all),Val (all),,73.59499415,73.63455473,108.1949416,85.14149682,19.96487861,108.1949416,0.57345,0.712121,0.610942,0.659574,0.557576,0.545455,0.59697,0.539394,0.512121,0.427273,0.519553,0.544444,0.536111,0.633333,0.662963,0.574074,0.551852,0.611111,0.592593,0.548148,cnn10_None_SGD_0-001_32_50_42_None
17,CNN10,32,0.001,Adam,42,Train (all),Val (all),,78.60077593,168.371573,51.69333858,99.55522916,61.09639455,168.371573,0.566038,0.678788,0.598784,0.620061,0.587879,0.524242,0.569697,0.539394,0.512121,0.463636,0.544693,0.5,0.555556,0.637037,0.603704,0.544444,0.551852,0.522222,0.607407,0.625926,cnn10_None_Adam_0-001_32_50_42_None
18,CNN10,16,0.0001,Adam,43,Train (all),Val (all),,181.7256389,65.06896474,64.08246927,103.625691,67.63833746,181.7256389,0.577493,0.690909,0.595745,0.610942,0.6,0.566667,0.60303,0.527273,0.545455,0.457576,0.530726,0.544444,0.525,0.637037,0.622222,0.592593,0.566667,0.644444,0.574074,0.581481,cnn10_None_Adam_0-0001_16_50_43_None
19,CNN14,16,0.0001,Adam,42,Train (all),Val (all),,116.9340953,151.3754734,92.41155315,120.240374,29.62067828,151.3754734,0.558288,0.669697,0.604863,0.656535,0.587879,0.554545,0.593939,0.481818,0.472727,0.40303,0.519553,0.469444,0.541667,0.596296,0.614815,0.614815,0.511111,0.625926,0.533333,0.603704,cnn14_None_Adam_0-0001_16_50_42_None
20,CNN10,16,0.001,KFAC,42,Train (all),Val (all),,62.29407485,146.2788561,175.9464742,128.1731351,58.94980765,175.9464742,0.555256,0.678788,0.528875,0.601824,0.551515,0.566667,0.609091,0.533333,0.530303,0.39697,0.547486,0.538889,0.583333,0.562963,0.637037,0.57037,0.481481,0.577778,0.5,0.551852,cnn10_None_KFACOptimizer_0-001_16_50_42_None
21,CNN10,16,0.001,KFAC,43,Train (all),Val (all),,171.4589704,173.121152,82.90592906,142.4953505,51.61264448,173.121152,0.578167,0.678788,0.583587,0.647416,0.59697,0.566667,0.621212,0.493939,0.572727,0.442424,0.539106,0.577778,0.558333,0.577778,0.67037,0.62963,0.52963,0.559259,0.555556,0.603704,cnn10_None_KFACOptimizer_0-001_16_50_43_None
22,CNN14,16,0.0001,Adam,43,Train (all),Val (all),,101.301594,164.9715792,161.3267647,142.5333126,35.75419043,164.9715792,0.566375,0.7,0.586626,0.647416,0.630303,0.551515,0.590909,0.481818,0.487879,0.421212,0.547486,0.488889,0.55,0.555556,0.648148,0.603704,0.514815,0.614815,0.588889,0.588889,cnn14_None_Adam_0-0001_16_50_43_None
23,CNN10,16,0.0001,gdtuo Adam,43,Train (all),Val (all),,132.8588119,227.2147117,73.36372349,144.4790824,77.58095553,227.2147117,0.586927,0.690909,0.620061,0.638298,0.6,0.572727,0.636364,0.524242,0.536364,0.463636,0.52514,0.566667,0.555556,0.614815,0.611111,0.588889,0.585185,0.640741,0.559259,0.659259,cnn10_None_GDTUO-Adam-Adam_0-0001_16_50_43_None
24,CNN14,32,0.0001,Adam,42,Train (all),Val (all),,118.1616595,228.9315554,133.2766534,160.1232894,60.06703637,228.9315554,0.536051,0.687879,0.577508,0.604863,0.581818,0.566667,0.572727,0.457576,0.433333,0.342424,0.469274,0.494444,0.519444,0.592593,0.533333,0.540741,0.492593,0.588889,0.52963,0.640741,cnn14_None_Adam_0-0001_32_50_42_None
25,CNN10,32,0.0001,Adam,43,Train (all),Val (all),,153.4445924,261.8975132,135.0644242,183.4688432,68.54013309,261.8975132,0.570755,0.672727,0.592705,0.62614,0.551515,0.557576,0.609091,0.518182,0.542424,0.466667,0.494413,0.544444,0.508333,0.62963,0.603704,0.562963,0.574074,0.62963,0.551852,0.662963,cnn10_None_Adam_0-0001_32_50_43_None
26,CNN10,16,0.0001,gdtuo Adam,42,Train (all),Val (all),,215.0615487,179.8919649,194.2702603,196.4079246,17.68197143,215.0615487,0.583221,0.724242,0.607903,0.653495,0.551515,0.593939,0.569697,0.566667,0.536364,0.445455,0.513966,0.597222,0.555556,0.622222,0.625926,0.622222,0.518519,0.614815,0.562963,0.625926,cnn10_None_GDTUO-Adam-Adam_0-0001_16_50_42_None
27,CNN10,16,0.001,gdtuo Adam,42,Train (all),Val (all),,229.0178316,209.5724935,167.6381852,202.0761701,31.36895596,229.0178316,0.606469,0.706061,0.598784,0.671733,0.569697,0.606061,0.624242,0.590909,0.578788,0.512121,0.572626,0.597222,0.575,0.625926,0.685185,0.648148,0.544444,0.625926,0.562963,0.651852,cnn10_None_GDTUO-Adam-Adam_0-001_16_50_42_None
28,CNN10,32,0.0001,Adam,42,Train (all),Val (all),,169.9860349,181.5083999,257.7444361,203.0796236,47.6903818,257.7444361,0.570081,0.712121,0.586626,0.62614,0.590909,0.59697,0.593939,0.466667,0.493939,0.463636,0.502793,0.569444,0.536111,0.633333,0.603704,0.614815,0.514815,0.577778,0.544444,0.637037,cnn10_None_Adam_0-0001_32_50_42_None
29,CNN10,16,0.0001,Adam,42,Train (all),Val (all),,204.9703203,239.1684769,176.1873118,206.7753696,31.52935842,239.1684769,0.589623,0.678788,0.607903,0.644377,0.584848,0.59697,0.639394,0.5,0.557576,0.49697,0.553073,0.586111,0.536111,0.637037,0.662963,0.648148,0.533333,0.644444,0.574074,0.551852,cnn10_None_Adam_0-0001_16_50_42_None
30,CNN10,16,0.001,gdtuo Adam,43,Train (all),Val (all),,133.7312047,250.0696869,255.1584701,212.9864539,68.68420361,255.1584701,0.571765,0.672727,0.607903,0.650456,0.563636,0.569697,0.59697,0.5,0.551515,0.433333,0.522346,0.569444,0.541667,0.625926,0.622222,0.614815,0.522222,0.577778,0.574074,0.574074,cnn10_None_GDTUO-Adam-Adam_0-001_16_50_43_None
31,CNN10,32,0.0001,gdtuo Adam,43,Train (all),Val (all),,279.2823732,257.9088664,315.5161333,284.235791,29.12132485,315.5161333,0.551887,0.669697,0.583587,0.62614,0.518182,0.536364,0.575758,0.521212,0.493939,0.442424,0.452514,0.55,0.533333,0.585185,0.603704,0.548148,0.492593,0.577778,0.577778,0.637037,cnn10_None_GDTUO-Adam-Adam_0-0001_32_50_43_None
32,CNN10,16,0.00001,KFAC,43,Train (all),Val (all),793.0008113,301.8913469,331.7647133,284.5546909,306.0702504,23.88082868,331.7647133,0.608827,0.7,0.629179,0.674772,0.624242,0.593939,0.59697,0.581818,0.566667,0.512121,0.49162,0.6,0.575,0.662963,0.618519,0.622222,0.596296,0.666667,0.637037,0.67037,cnn10_None_KFACOptimizer_1e-05_16_50_43_None
33,CNN10,16,0.00001,KFAC,42,Train (all),Val (all),719.5088897,307.7468505,385.5363341,308.0057213,333.7629687,44.83723655,385.5363341,0.616577,0.757576,0.635258,0.723404,0.60303,0.624242,0.624242,0.548485,0.548485,0.484848,0.555866,0.594444,0.580556,0.651852,0.611111,0.640741,0.562963,0.681481,0.666667,0.659259,cnn10_None_KFACOptimizer_1e-05_16_50_42_None
34,CNN10,32,0.0001,gdtuo Adam,42,Train (all),Val (all),,287.9171913,445.6529738,315.3263668,349.6321773,84.27817479,445.6529738,0.577156,0.718182,0.595745,0.629179,0.572727,0.590909,0.6,0.527273,0.542424,0.418182,0.50838,0.558333,0.55,0.596296,0.625926,0.633333,0.548148,0.57037,0.603704,0.614815,cnn10_None_GDTUO-Adam-Adam_0-0001_32_50_42_None
35,CNN10,32,0.001,gdtuo Adam,43,Train (all),Val (all),,331.5887309,402.736938,365.5406506,366.6221065,35.58643008,402.736938,0.568396,0.675758,0.577508,0.644377,0.548485,0.545455,0.615152,0.527273,0.536364,0.445455,0.530726,0.538889,0.533333,0.603704,0.659259,0.566667,0.525926,0.622222,0.52963,0.607407,cnn10_None_GDTUO-Adam-Adam_0-001_32_50_43_None
36,CNN10,32,0.001,gdtuo Adam,42,Train (all),Val (all),,333.2766569,586.8545744,512.8072643,477.6461652,130.394276,586.8545744,0.588612,0.706061,0.620061,0.641337,0.6,0.615152,0.560606,0.536364,0.563636,0.454545,0.544693,0.591667,0.558333,0.637037,0.603704,0.596296,0.533333,0.592593,0.607407,0.644444,cnn10_None_GDTUO-Adam-Adam_0-001_32_50_42_None
37,CNN10,16,0.0001,KFAC,42,Train (all),Val (all),,892.4660169,366.0987961,337.364236,531.9763496,312.5236293,892.4660169,0.582884,0.687879,0.56231,0.641337,0.572727,0.621212,0.609091,0.5,0.578788,0.472727,0.472067,0.588889,0.588889,0.640741,0.614815,0.533333,0.551852,0.596296,0.662963,0.611111,cnn10_None_KFACOptimizer_0-0001_16_50_42_None
38,CNN10,16,0.0001,KFAC,43,Train (all),Val (all),,442.9845848,664.2619367,758.382069,621.8761968,161.9145036,758.382069,0.567049,0.672727,0.571429,0.604863,0.60303,0.557576,0.59697,0.521212,0.533333,0.442424,0.511173,0.577778,0.505556,0.577778,0.651852,0.566667,0.559259,0.581481,0.551852,0.622222,cnn10_None_KFACOptimizer_0-0001_16_50_43_None
,RQ5 End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
